horizon,secid,param_id,fold_id,train_rows,validation_rows,validation_first_date,validation_last_date,max_depth,min_samples_leaf,max_thresholds,normalize_etc,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,true_positive_share,predicted_positive_share,tp,tn,fp,fn
1,IMOEX,29,mean,,,,,4,50,16,False,0.49396197593047503,0.48555941929996055,,,,,,,,,
1,IMOEX,30,0,999.0,251.0,2019-03-04,2020-03-02,4,100,8,False,0.5418326693227091,0.5106513856513857,0.5769230769230769,0.7342657342657343,0.6461538461538461,0.5697211155378487,0.7250996015936255,105.0,31.0,77.0,38.0
1,IMOEX,30,1,1503.0,251.0,2021-03-05,2022-03-25,4,100,8,False,0.5219123505976095,0.5195267410542517,0.5681818181818182,0.5434782608695652,0.5555555555555556,0.549800796812749,0.5258964143426295,75.0,56.0,57.0,63.0
1,IMOEX,30,2,2007.0,193.0,2023-03-29,2023-12-27,4,100,8,False,0.5544041450777202,0.49645748987854255,0.6040268456375839,0.7692307692307693,0.6766917293233082,0.6062176165803109,0.772020725388601,90.0,17.0,59.0,27.0
1,IMOEX,30,mean,,,,,4,100,8,False,0.5393830549993462,0.5088785388613933,,,,,,,,,
1,IMOEX,31,0,999.0,251.0,2019-03-04,2020-03-02,4,100,16,False,0.4940239043824701,0.4766252266252266,0.5512820512820513,0.6013986013986014,0.5752508361204013,0.5697211155378487,0.6215139442231076,86.0,38.0,70.0,57.0
1,IMOEX,31,1,1503.0,251.0,2021-03-05,2022-03-25,4,100,16,False,0.4900398406374502,0.4664935231499295,0.5271739130434783,0.7028985507246377,0.6024844720496895,0.549800796812749,0.7330677290836654,97.0,26.0,87.0,41.0
1,IMOEX,31,2,2007.0,193.0,2023-03-29,2023-12-27,4,100,16,False,0.533678756476684,0.5277777777777778,0.6310679611650486,0.5555555555555556,0.5909090909090909,0.6062176165803109,0.533678756476684,65.0,38.0,38.0,52.0
1,IMOEX,31,mean,,,,,4,100,16,False,0.5059141671655348,0.49029884251764466,,,,,,,,,
1,IMOEX,32,0,999.0,251.0,2019-03-04,2020-03-02,5,10,8,False,0.5179282868525896,0.4987373737373737,0.56875,0.6363636363636364,0.6006600660066007,0.5697211155378487,0.6374501992031872,91.0,39.0,69.0,52.0
1,IMOEX,32,1,1503.0,251.0,2021-03-05,2022-03-25,5,10,8,False,0.49800796812749004,0.48897011671155577,0.5405405405405406,0.5797101449275363,0.5594405594405595,0.549800796812749,0.5896414342629482,80.0,45.0,68.0,58.0
