secid,date,future_date,close,future_close,future_return,target_up,horizon,model,predicted_return,predicted_close,predicted_up,position,position_change,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,cost_bps
RTSI,2026-02-17,2026-02-25,1135.2,1151.61,0.0144556025369977,1,5,LastHorizonReturn,0.0240127009327248,1162.4592180988293,1,1,1,0.0005,0.013955602536997699,0.0144556025369977,1.0341690974689866,1.073121866671639,5.0
RTSI,2026-02-25,2026-03-04,1151.61,1137.7,-0.0120787419352036,0,5,LastHorizonReturn,0.0144556025369977,1168.2572164376318,1,1,0,0.0,-0.0120787419352036,-0.0120787419352036,1.0216776358232962,1.0601599045790882,5.0
RTSI,2026-03-04,2026-03-11,1137.7,1137.11,-0.0005185901379978,0,5,LastHorizonReturn,-0.0120787419352036,1123.958015300319,0,0,1,0.0005,-0.0005,-0.0005185901379978,1.0211667970053846,1.0596101161078728,5.0
RTSI,2026-03-11,2026-03-18,1137.11,1088.29,-0.0429334013419985,0,5,LastHorizonReturn,-0.0005185901379978,1136.5203059681812,0,0,0,0.0,-0.0,-0.0429334013419985,1.0211667970053846,1.0141174497269718,5.0
RTSI,2026-03-18,2026-03-25,1088.29,1108.42,0.0184969079932739,1,5,LastHorizonReturn,-0.0429334013419985,1041.5660086535163,0,0,0,0.0,0.0,0.0184969079932739,1.0211667970053846,1.0328754868889451,5.0
RTSI,2026-03-25,2026-04-01,1108.42,1084.37,-0.0216975514696596,0,5,LastHorizonReturn,0.0184969079932739,1128.9223427579047,1,1,1,0.0005,-0.0221975514696596,-0.0216975514696596,0.9984993944697501,1.0104646178504226,5.0
RTSI,2026-04-01,2026-04-08,1084.37,1112.4,0.0258491105434492,1,5,LastHorizonReturn,-0.0216975514696596,1060.8418261128452,0,0,1,0.0005,-0.0005,0.0258491105434492,0.9980001447725153,1.0365842294574825,5.0
RTSI,2026-04-08,2026-04-15,1112.4,1147.48,0.0315354189140595,1,5,LastHorizonReturn,0.0258491105434492,1141.154550568533,1,1,1,0.0005,0.031035418914059497,0.0315354189140595,1.0289734973418225,1.0692733473731317,5.0
RTSI,2026-04-15,2026-04-22,1147.48,1159.98,0.0108934360511729,1,5,LastHorizonReturn,0.0315354189140595,1183.666262495505,1,1,0,0.0,0.0108934360511729,0.0108934360511729,1.0401825543334675,1.0809214082039647,5.0
RTSI,2026-04-22,2026-04-29,1159.98,1110.57,-0.0425955619924481,0,5,LastHorizonReturn,0.0108934360511729,1172.6161679506397,1,1,0,0.0,-0.0425955619924481,-0.0425955619924481,0.9958753938568933,1.0348789533518483,5.0
RTSI,2026-04-29,2026-05-07,1110.57,1104.09,-0.0058348415678435,0,5,LastHorizonReturn,-0.0425955619924481,1063.2646467180468,0,0,1,0.0005,-0.0005,-0.0058348415678435,0.9953774561599649,1.0288405986171445,5.0
RTSI,2026-05-07,2026-05-14,1104.09,1145.21,0.0372433406696919,1,5,LastHorizonReturn,-0.0058348415678435,1097.6478097733595,0,0,0,0.0,0.0,0.0372433406696919,0.9953774561599649,1.0671580595262526,5.0
RTSI,2026-05-14,2026-05-21,1145.21,1185.63,0.0352948367548311,1,5,LastHorizonReturn,0.0372433406696919,1187.861446168338,1,1,1,0.0005,0.0347948367548311,0.0352948367548311,1.03001145225649,1.104823229028834,5.0
RTSI,2024-01-03,2024-01-10,1073.14,1115.51,0.039482266992191,1,5,NaivePrice,0.0,1073.14,0,0,0,0.0,0.0,0.039482266992191,1.0,1.039482266992191,5.0
RTSI,2024-01-10,2024-01-17,1115.51,1129.77,0.0127833905567855,1,5,NaivePrice,0.0,1115.51,0,0,0,0.0,0.0,0.0127833905567855,1.0,1.052770374788005,5.0
RTSI,2024-01-17,2024-01-24,1129.77,1124.09,-0.0050275719836782,0,5,NaivePrice,0.0,1129.77,0,0,0,0.0,-0.0,-0.0050275719836782,1.0,1.0474774959464745,5.0
RTSI,2024-01-24,2024-01-31,1124.09,1125.63,0.0013699970642921,1,5,NaivePrice,0.0,1124.09,0,0,0,0.0,0.0,0.0013699970642921,1.0,1.0489125370408334,5.0
RTSI,2024-01-31,2024-02-07,1125.63,1124.71,-0.0008173200785338,0,5,NaivePrice,0.0,1125.63,0,0,0,0.0,-0.0,-0.0008173200785338,1.0,1.0480552397636842,5.0
RTSI,2024-02-07,2024-02-14,1124.71,1122.52,-0.0019471686034622,0,5,NaivePrice,0.0,1124.71,0,0,0,0.0,-0.0,-0.0019471686034622,1.0,1.0460144995061222,5.0
RTSI,2024-02-14,2024-02-21,1122.52,1068.09,-0.0484891137797099,0,5,NaivePrice,0.0,1122.52,0,0,0,0.0,-0.0,-0.0484891137797099,1.0,0.9952941834243436,5.0
RTSI,2024-02-21,2024-02-29,1068.09,1127.32,0.0554541283974197,1,5,NaivePrice,0.0,1068.09,0,0,0,0.0,0.0,0.0554541283974197,1.0,1.050487354865162,5.0
RTSI,2024-02-29,2024-03-07,1127.32,1152.12,0.021999077458042,1,5,NaivePrice,0.0,1127.32,0,0,0,0.0,0.0,0.021999077458042,1.0,1.0735971075535344,5.0
RTSI,2024-03-07,2024-03-15,1152.12,1119.66,-0.028174148526195,0,5,NaivePrice,0.0,1152.12,0,0,0,0.0,-0.0,-0.028174148526195,1.0,1.0433494231880278,5.0
